OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,AtLeastOnceDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
621,4/27/2021 15:00:00,age50to59,5219,475812,7866,300486,249,42555,5468,518367,8115,343041
622,4/28/2021 15:00:00,age50to59,5261,481073,9116,309602,353,42908,5614,523981,9469,352510
623,4/29/2021 15:00:00,age50to59,5297,486370,8862,318464,339,43247,5636,529617,9201,361711
624,4/30/2021 15:00:00,age50to59,5379,491749,7361,325825,383,43630,5762,535379,7744,369455
625,5/1/2021 15:00:00,age50to59,3325,495074,5744,331569,244,43874,3569,538948,5988,375443
626,5/2/2021 15:00:00,age50to59,1613,496687,3245,334814,181,44055,1794,540742,3426,378869
627,5/3/2021 15:00:00,age50to59,2331,499018,6015,340829,468,44523,2799,543541,6483,385352
628,5/4/2021 15:00:00,age50to59,2618,501636,9100,349929,404,44927,3022,546563,9504,394856
629,5/5/2021 15:00:00,age50to59,3476,505112,8140,358069,438,45365,3914,550477,8578,403434
630,5/6/2021 15:00:00,age50to59,3091,508203,8916,366985,444,45809,3535,554012,9360,412794
631,5/7/2021 15:00:00,age50to59,2990,511193,7295,374280,422,46231,3412,557424,7717,420511
632,5/8/2021 15:00:00,age50to59,1750,512943,6343,380623,297,46528,2047,559471,6640,427151
633,5/9/2021 15:00:00,age50to59,766,513709,2391,383014,153,46681,919,560390,2544,429695
634,5/10/2021 15:00:00,age50to59,1541,515250,6432,389446,325,47006,1866,562256,6757,436452
635,5/11/2021 15:00:00,age50to59,1982,517232,6683,396129,338,47344,2320,564576,7021,443473
636,5/12/2021 15:00:00,age50to59,2137,519369,7526,403655,398,47742,2535,567111,7924,451397
637,5/13/2021 15:00:00,age50to59,1978,521347,6997,410652,295,48037,2273,569384,7292,458689
638,5/14/2021 15:00:00,age50to59,2463,523810,5972,416624,376,48413,2839,572223,6348,465037
639,5/15/2021 15:00:00,age50to59,1662,525472,4655,421279,328,48741,1990,574213,4983,470020
640,5/16/2021 15:00:00,age50to59,809,526281,3214,424493,226,48967,1035,575248,3440,473460
641,5/17/2021 15:00:00,age50to59,1687,527968,5230,429723,398,49365,2085,577333,5628,479088
642,5/18/2021 15:00:00,age50to59,2133,530101,6000,435723,410,49775,2543,579876,6410,485498
643,5/19/2021 15:00:00,age50to59,2303,532404,6333,442056,366,50141,2669,582545,6699,492197
644,5/20/2021 15:00:00,age50to59,2184,534588,6632,448688,386,50527,2570,585115,7018,499215
645,5/21/2021 15:00:00,age50to59,2147,536735,5982,454670,348,50875,2495,587610,6330,505545
646,5/22/2021 15:00:00,age50to59,1580,538315,3616,458286,237,51112,1817,589427,3853,509398
647,5/23/2021 15:00:00,age50to59,824,539139,2196,460482,190,51302,1014,590441,2386,511784
648,5/24/2021 15:00:00,age50to59,1491,540630,3389,463871,294,51596,1785,592226,3683,515467
649,1/24/2021 15:00:00,age20to29,195,39643,146,6371,,0,,39643,,6371
650,1/25/2021 15:00:00,age20to29,995,40638,898,7269,,0,,40638,,7269
651,1/26/2021 15:00:00,age20to29,1139,41777,1005,8274,,0,,41777,,8274
652,1/27/2021 15:00:00,age20to29,1364,43141,1484,9758,,0,,43141,,9758
653,1/28/2021 15:00:00,age20to29,1209,44350,1240,10998,,0,,44350,,10998
654,1/29/2021 15:00:00,age20to29,1308,45658,963,11961,,0,,45658,,11961
655,1/30/2021 15:00:00,age20to29,1008,46666,424,12385,,0,,46666,,12385
656,1/31/2021 15:00:00,age20to29,283,46949,82,12467,,0,,46949,,12467
657,2/1/2021 15:00:00,age20to29,357,47306,506,12973,,0,,47306,,12973
658,2/2/2021 15:00:00,age20to29,682,47988,1614,14587,,0,,47988,,14587
659,2/3/2021 15:00:00,age20to29,1078,49066,2229,16816,,0,,49066,,16816
660,2/4/2021 15:00:00,age20to29,1125,50191,1835,18651,,0,,50191,,18651
661,2/5/2021 15:00:00,age20to29,1224,51415,2238,20889,,0,,51415,,20889
662,2/6/2021 15:00:00,age20to29,759,52174,756,21645,,0,,52174,,21645
663,2/7/2021 15:00:00,age20to29,347,52521,221,21866,,0,,52521,,21866
664,2/8/2021 15:00:00,age20to29,753,53274,1545,23411,,0,,53274,,23411
665,2/9/2021 15:00:00,age20to29,961,54235,1442,24853,,0,,54235,,24853
666,2/10/2021 15:00:00,age20to29,941,55176,2193,27046,,0,,55176,,27046
667,2/11/2021 15:00:00,age20to29,1270,56446,1953,28999,,0,,56446,,28999
668,2/12/2021 15:00:00,age20to29,1317,57763,2257,31256,,0,,57763,,31256
669,2/13/2021 15:00:00,age20to29,572,58335,691,31947,,0,,58335,,31947
670,2/14/2021 15:00:00,age20to29,420,58755,175,32122,,0,,58755,,32122
671,2/15/2021 15:00:00,age20to29,652,59407,1108,33230,,0,,59407,,33230
672,2/16/2021 15:00:00,age20to29,918,60325,1524,34754,,0,,60325,,34754
673,2/17/2021 15:00:00,age20to29,1400,61725,1877,36631,,0,,61725,,36631
674,2/18/2021 15:00:00,age20to29,210,61935,329,36960,,0,,61935,,36960
675,2/19/2021 15:00:00,age20to29,591,62526,1487,38447,,0,,62526,,38447
676,2/20/2021 15:00:00,age20to29,593,63119,1342,39789,,0,,63119,,39789
677,2/21/2021 15:00:00,age20to29,295,63414,322,40111,,0,,63414,,40111
678,2/22/2021 15:00:00,age20to29,517,63931,1057,41168,,0,,63931,,41168
679,2/23/2021 15:00:00,age20to29,1022,64953,941,42109,,0,,64953,,42109
680,2/24/2021 15:00:00,age20to29,1051,66004,1396,43505,,0,,66004,,43505
681,2/25/2021 15:00:00,age20to29,1087,67091,1382,44887,,0,,67091,,44887
682,2/26/2021 15:00:00,age20to29,1639,68730,1632,46519,,0,,68730,,46519
683,2/27/2021 15:00:00,age20to29,1119,69849,817,47336,,0,,69849,,47336
684,2/28/2021 15:00:00,age20to29,949,70798,282,47618,,0,,70798,,47618
685,3/1/2021 15:00:00,age20to29,1562,72360,581,48199,,0,,72360,,48199
686,3/2/2021 15:00:00,age20to29,1435,73795,561,48760,,0,,73795,,48760
687,3/3/2021 15:00:00,age20to29,1972,75767,1057,49817,9,9,1981,75776,1066,49826
688,3/4/2021 15:00:00,age20to29,2017,77784,877,50694,286,295,2303,78079,1163,50989
689,3/5/2021 15:00:00,age20to29,1812,79596,1164,51858,294,589,2106,80185,1458,52447
690,5/29/2021 15:00:00,age10to19,3327,252785,1365,113372,25,5797,3352,258582,1390,119169
691,5/30/2021 15:00:00,age10to19,1658,254443,826,114198,20,5817,1678,260260,846,120015
692,5/31/2021 15:00:00,age10to19,344,254787,359,114557,14,5831,358,260618,373,120388
693,6/1/2021 15:00:00,age10to19,2462,257249,1955,116512,51,5882,2513,263131,2006,122394
694,6/2/2021 15:00:00,age10to19,3787,261036,3296,119808,52,5934,3839,266970,3348,125742
695,6/3/2021 15:00:00,age10to19,2053,263089,9549,129357,32,5966,2085,269055,9581,135323
696,6/4/2021 15:00:00,age10to19,2110,265199,9625,138982,32,5998,2142,271197,9657,144980
697,6/5/2021 15:00:00,age10to19,2441,267640,11187,150169,21,6019,2462,273659,11208,156188
698,6/6/2021 15:00:00,age10to19,1261,268901,3957,154126,16,6035,1277,274936,3973,160161
699,6/7/2021 15:00:00,age10to19,1994,270895,7995,162121,36,6071,2030,276966,8031,168192
700,6/8/2021 15:00:00,age10to19,1956,272851,9314,171435,31,6102,1987,278953,9345,177537
701,6/9/2021 15:00:00,age10to19,3018,275869,13656,185091,40,6142,3058,282011,13696,191233
702,6/10/2021 15:00:00,age10to19,2057,277926,8269,193360,37,6179,2094,284105,8306,199539
703,6/11/2021 15:00:00,age10to19,2294,280220,6597,199957,30,6209,2324,286429,6627,206166
704,6/12/2021 15:00:00,age10to19,1682,281902,6566,206523,32,6241,1714,288143,6598,212764
705,6/13/2021 15:00:00,age10to19,483,282385,3267,209790,26,6267,509,288652,3293,216057
706,6/14/2021 15:00:00,age10to19,1743,284128,3750,213540,29,6296,1772,290424,3779,219836
707,6/15/2021 15:00:00,age10to19,1658,285786,4684,218224,38,6334,1696,292120,4722,224558
708,6/16/2021 15:00:00,age10to19,2421,288207,8903,227127,34,6368,2455,294575,8937,233495
709,6/17/2021 15:00:00,age10to19,1998,290205,3322,230449,26,6394,2024,296599,3348,236843
710,6/18/2021 15:00:00,age10to19,1836,292041,3386,233835,28,6422,1864,298463,3414,240257
711,6/19/2021 15:00:00,age10to19,1349,293390,3124,236959,31,6453,1380,299843,3155,243412
712,6/20/2021 15:00:00,age10to19,705,294095,1478,238437,9,6462,714,300557,1487,244899
713,6/21/2021 15:00:00,age10to19,1718,295813,1083,239520,27,6489,1745,302302,1110,246009
714,6/22/2021 15:00:00,age10to19,1437,297250,2365,241885,28,6517,1465,303767,2393,248402
715,6/23/2021 15:00:00,age10to19,2001,299251,3547,245432,29,6546,2030,305797,3576,251978
716,6/24/2021 15:00:00,age10to19,1621,300872,1931,247363,26,6572,1647,307444,1957,253935
717,6/25/2021 15:00:00,age10to19,1522,302394,1919,249282,22,6594,1544,308988,1941,255876
718,6/26/2021 15:00:00,age10to19,1016,303410,2101,251383,18,6612,1034,310022,2119,257995
719,6/27/2021 15:00:00,age10to19,769,304179,1024,252407,11,6623,780,310802,1035,259030
720,6/28/2021 15:00:00,age10to19,1407,305586,1892,254299,23,6646,1430,312232,1915,260945
721,6/29/2021 15:00:00,age10to19,1414,307000,1801,256100,31,6677,1445,313677,1832,262777
722,6/30/2021 15:00:00,age10to19,1768,308768,2620,258720,36,6713,1804,315481,2656,265433
723,7/1/2021 15:00:00,age10to19,1462,310230,1901,260621,35,6748,1497,316978,1936,267369
724,7/2/2021 15:00:00,age10to19,1369,311599,1958,262579,30,6778,1399,318377,1988,269357
725,7/3/2021 15:00:00,age10to19,807,312406,1283,263862,21,6799,828,319205,1304,270661
726,7/4/2021 15:00:00,age10to19,113,312519,135,263997,2,6801,115,319320,137,270798
727,7/5/2021 15:00:00,age10to19,1115,313634,1118,265115,25,6826,1140,320460,1143,271941
728,7/6/2021 15:00:00,age10to19,1210,314844,1832,266947,24,6850,1234,321694,1856,273797
729,7/7/2021 15:00:00,age10to19,1266,316110,2090,269037,33,6883,1299,322993,2123,275920
730,1/2/2021 15:00:00,age40to49,437,14746,6,62,,0,,14746,,62
731,1/3/2021 15:00:00,age40to49,536,15282,9,71,,0,,15282,,71
732,1/4/2021 15:00:00,age40to49,2477,17759,61,132,,0,,17759,,132
733,1/5/2021 15:00:00,age40to49,2267,20026,116,248,,0,,20026,,248
734,1/6/2021 15:00:00,age40to49,2868,22894,182,430,,0,,22894,,430
735,1/7/2021 15:00:00,age40to49,2908,25802,404,834,,0,,25802,,834
736,1/8/2021 15:00:00,age40to49,2952,28754,659,1493,,0,,28754,,1493
737,1/9/2021 15:00:00,age40to49,862,29616,179,1672,,0,,29616,,1672
738,1/10/2021 15:00:00,age40to49,484,30100,79,1751,,0,,30100,,1751
739,1/11/2021 15:00:00,age40to49,2451,32551,769,2520,,0,,32551,,2520
740,1/12/2021 15:00:00,age40to49,3017,35568,1095,3615,,0,,35568,,3615
741,1/13/2021 15:00:00,age40to49,3538,39106,797,4412,,0,,39106,,4412
742,1/14/2021 15:00:00,age40to49,3297,42403,362,4774,,0,,42403,,4774
743,1/15/2021 15:00:00,age40to49,3537,45940,325,5099,,0,,45940,,5099
744,1/16/2021 15:00:00,age40to49,893,46833,234,5333,,0,,46833,,5333
745,1/17/2021 15:00:00,age40to49,278,47111,216,5549,,0,,47111,,5549
746,1/18/2021 15:00:00,age40to49,844,47955,590,6139,,0,,47955,,6139
747,1/19/2021 15:00:00,age40to49,1794,49749,957,7096,,0,,49749,,7096
748,1/20/2021 15:00:00,age40to49,2074,51823,1004,8100,,0,,51823,,8100
749,1/21/2021 15:00:00,age40to49,2598,54421,697,8797,,0,,54421,,8797
750,1/22/2021 15:00:00,age40to49,3756,58177,622,9419,,0,,58177,,9419
751,1/23/2021 15:00:00,age40to49,1135,59312,284,9703,,0,,59312,,9703
752,1/24/2021 15:00:00,age40to49,270,59582,269,9972,,0,,59582,,9972
753,1/25/2021 15:00:00,age40to49,1673,61255,1622,11594,,0,,61255,,11594
754,1/26/2021 15:00:00,age40to49,1797,63052,1656,13250,,0,,63052,,13250
755,1/27/2021 15:00:00,age40to49,2321,65373,2477,15727,,0,,65373,,15727
756,1/28/2021 15:00:00,age40to49,2369,67742,1677,17404,,0,,67742,,17404
757,1/29/2021 15:00:00,age40to49,2362,70104,1460,18864,,0,,70104,,18864
758,1/30/2021 15:00:00,age40to49,1802,71906,408,19272,,0,,71906,,19272
759,1/31/2021 15:00:00,age40to49,565,72471,190,19462,,0,,72471,,19462
760,2/1/2021 15:00:00,age40to49,642,73113,857,20319,,0,,73113,,20319
761,2/2/2021 15:00:00,age40to49,1144,74257,2417,22736,,0,,74257,,22736
762,2/3/2021 15:00:00,age40to49,1806,76063,3559,26295,,0,,76063,,26295
763,2/4/2021 15:00:00,age40to49,2012,78075,3018,29313,,0,,78075,,29313
764,2/5/2021 15:00:00,age40to49,1967,80042,2988,32301,,0,,80042,,32301
765,2/6/2021 15:00:00,age40to49,1311,81353,1167,33468,,0,,81353,,33468
766,2/7/2021 15:00:00,age40to49,586,81939,217,33685,,0,,81939,,33685
767,2/8/2021 15:00:00,age40to49,1208,83147,2188,35873,,0,,83147,,35873
768,2/9/2021 15:00:00,age40to49,1527,84674,2135,38008,,0,,84674,,38008
769,2/10/2021 15:00:00,age40to49,1654,86328,3436,41444,,0,,86328,,41444
770,2/11/2021 15:00:00,age40to49,2259,88587,2805,44249,,0,,88587,,44249
771,3/6/2021 15:00:00,age20to29,1375,80971,573,52431,548,1137,1923,82108,1121,53568
772,3/7/2021 15:00:00,age20to29,844,81815,322,52753,645,1782,1489,83597,967,54535
773,3/8/2021 15:00:00,age20to29,1565,83380,571,53324,645,2427,2210,85807,1216,55751
774,3/9/2021 15:00:00,age20to29,1939,85319,869,54193,640,3067,2579,88386,1509,57260
775,3/10/2021 15:00:00,age20to29,2127,87446,977,55170,809,3876,2936,91322,1786,59046
776,3/11/2021 15:00:00,age20to29,3078,90524,808,55978,264,4140,3342,94664,1072,60118
777,3/12/2021 15:00:00,age20to29,3147,93671,1153,57131,196,4336,3343,98007,1349,61467
778,3/13/2021 15:00:00,age20to29,2278,95949,516,57647,102,4438,2380,100387,618,62085
779,3/14/2021 15:00:00,age20to29,1881,97830,383,58030,104,4542,1985,102372,487,62572
780,3/15/2021 15:00:00,age20to29,3106,100936,565,58595,44,4586,3150,105522,609,63181
781,3/16/2021 15:00:00,age20to29,3253,104189,716,59311,33,4619,3286,108808,749,63930
782,3/17/2021 15:00:00,age20to29,3424,107613,985,60296,129,4748,3553,112361,1114,65044
783,3/18/2021 15:00:00,age20to29,4295,111908,772,61068,175,4923,4470,116831,947,65991
784,3/19/2021 15:00:00,age20to29,3782,115690,824,61892,62,4985,3844,120675,886,66877
785,3/20/2021 15:00:00,age20to29,2700,118390,731,62623,64,5049,2764,123439,795,67672
786,3/21/2021 15:00:00,age20to29,2250,120640,515,63138,31,5080,2281,125720,546,68218
787,3/22/2021 15:00:00,age20to29,3488,124128,671,63809,71,5151,3559,129279,742,68960
788,3/23/2021 15:00:00,age20to29,3867,127995,1176,64985,106,5257,3973,133252,1282,70242
789,3/24/2021 15:00:00,age20to29,4345,132340,1353,66338,63,5320,4408,137660,1416,71658
790,3/25/2021 15:00:00,age20to29,5016,137356,1304,67642,177,5497,5193,142853,1481,73139
791,3/26/2021 15:00:00,age20to29,4135,141491,1677,69319,195,5692,4330,147183,1872,75011
792,3/27/2021 15:00:00,age20to29,3517,145008,1132,70451,172,5864,3689,150872,1304,76315
793,3/28/2021 15:00:00,age20to29,2170,147178,777,71228,128,5992,2298,153170,905,77220
794,3/29/2021 15:00:00,age20to29,3408,150586,1730,72958,81,6073,3489,156659,1811,79031
795,3/30/2021 15:00:00,age20to29,4518,155104,1815,74773,130,6203,4648,161307,1945,80976
796,3/31/2021 15:00:00,age20to29,4906,160010,2304,77077,544,6747,5450,166757,2848,83824
797,4/1/2021 15:00:00,age20to29,4742,164752,3005,80082,559,7306,5301,172058,3564,87388
798,4/2/2021 15:00:00,age20to29,4404,169156,2452,82534,709,8015,5113,177171,3161,90549
799,4/3/2021 15:00:00,age20to29,3451,172607,1737,84271,529,8544,3980,181151,2266,92815
800,4/4/2021 15:00:00,age20to29,1288,173895,893,85164,149,8693,1437,182588,1042,93857
801,4/5/2021 15:00:00,age20to29,4110,178005,2185,87349,758,9451,4868,187456,2943,96800
802,4/6/2021 15:00:00,age20to29,6174,184179,2647,89996,1294,10745,7468,194924,3941,100741
803,4/7/2021 15:00:00,age20to29,5306,189485,2763,92759,1700,12445,7006,201930,4463,105204
804,4/8/2021 15:00:00,age20to29,6368,195853,3322,96081,1943,14388,8311,210241,5265,110469
805,4/9/2021 15:00:00,age20to29,5526,201379,3177,99258,2002,16390,7528,217769,5179,115648
806,4/10/2021 15:00:00,age20to29,3932,205311,2578,101836,1134,17524,5066,222835,3712,119360
807,4/11/2021 15:00:00,age20to29,2934,208245,1348,103184,2008,19532,4942,227777,3356,122716
808,4/12/2021 15:00:00,age20to29,4408,212653,3589,106773,1767,21299,6175,233952,5356,128072
809,4/13/2021 15:00:00,age20to29,7369,220022,3631,110404,54,21353,7423,241375,3685,131757
810,4/14/2021 15:00:00,age20to29,7262,227284,3772,114176,32,21385,7294,248669,3804,135561
811,5/25/2021 15:00:00,age50to59,1642,542272,3675,467546,243,51839,1885,594111,3918,519385
812,5/26/2021 15:00:00,age50to59,1601,543873,3612,471158,293,52132,1894,596005,3905,523290
813,5/27/2021 15:00:00,age50to59,1446,545319,3532,474690,239,52371,1685,597690,3771,527061
814,5/28/2021 15:00:00,age50to59,1551,546870,3720,478410,273,52644,1824,599514,3993,531054
815,5/29/2021 15:00:00,age50to59,1018,547888,2012,480422,190,52834,1208,600722,2202,533256
816,5/30/2021 15:00:00,age50to59,507,548395,1073,481495,115,52949,622,601344,1188,534444
817,5/31/2021 15:00:00,age50to59,223,548618,587,482082,59,53008,282,601626,646,535090
818,6/1/2021 15:00:00,age50to59,1149,549767,3072,485154,215,53223,1364,602990,3287,538377
819,6/2/2021 15:00:00,age50to59,1069,550836,2768,487922,201,53424,1270,604260,2969,541346
820,6/3/2021 15:00:00,age50to59,1032,551868,2406,490328,233,53657,1265,605525,2639,543985
821,6/4/2021 15:00:00,age50to59,1121,552989,2560,492888,226,53883,1347,606872,2786,546771
822,6/5/2021 15:00:00,age50to59,775,553764,1622,494510,135,54018,910,607782,1757,548528
823,6/6/2021 15:00:00,age50to59,371,554135,608,495118,75,54093,446,608228,683,549211
824,6/7/2021 15:00:00,age50to59,772,554907,1624,496742,141,54234,913,609141,1765,550976
825,6/8/2021 15:00:00,age50to59,849,555756,1973,498715,192,54426,1041,610182,2165,553141
826,6/9/2021 15:00:00,age50to59,850,556606,1889,500604,198,54624,1048,611230,2087,555228
827,6/10/2021 15:00:00,age50to59,920,557526,2009,502613,194,54818,1114,612344,2203,557431
828,6/11/2021 15:00:00,age50to59,921,558447,2194,504807,227,55045,1148,613492,2421,559852
829,6/12/2021 15:00:00,age50to59,599,559046,1464,506271,113,55158,712,614204,1577,561429
830,6/13/2021 15:00:00,age50to59,239,559285,755,507026,55,55213,294,614498,810,562239
831,6/14/2021 15:00:00,age50to59,629,559914,1543,508569,116,55329,745,615243,1659,563898
832,6/15/2021 15:00:00,age50to59,713,560627,1725,510294,157,55486,870,616113,1882,565780
833,6/16/2021 15:00:00,age50to59,722,561349,1628,511922,142,55628,864,616977,1770,567550
834,6/17/2021 15:00:00,age50to59,806,562155,1590,513512,137,55765,943,617920,1727,569277
835,6/18/2021 15:00:00,age50to59,852,563007,1578,515090,145,55910,997,618917,1723,571000
836,6/19/2021 15:00:00,age50to59,516,563523,1050,516140,120,56030,636,619553,1170,572170
837,6/20/2021 15:00:00,age50to59,244,563767,519,516659,62,56092,306,619859,581,572751
838,6/21/2021 15:00:00,age50to59,626,564393,752,517411,111,56203,737,620596,863,573614
839,6/22/2021 15:00:00,age50to59,630,565023,1125,518536,127,56330,757,621353,1252,574866
840,6/23/2021 15:00:00,age50to59,740,565763,1193,519729,118,56448,858,622211,1311,576177
841,6/24/2021 15:00:00,age50to59,679,566442,1116,520845,108,56556,787,622998,1224,577401
842,6/25/2021 15:00:00,age50to59,748,567190,1166,522011,126,56682,874,623872,1292,578693
843,6/26/2021 15:00:00,age50to59,437,567627,728,522739,66,56748,503,624375,794,579487
844,6/27/2021 15:00:00,age50to59,306,567933,418,523157,34,56782,340,624715,452,579939
845,6/28/2021 15:00:00,age50to59,475,568408,673,523830,102,56884,577,625292,775,580714
846,6/29/2021 15:00:00,age50to59,577,568985,843,524673,97,56981,674,625966,940,581654
847,6/30/2021 15:00:00,age50to59,623,569608,795,525468,103,57084,726,626692,898,582552
848,7/1/2021 15:00:00,age50to59,522,570130,833,526301,81,57165,603,627295,914,583466
849,7/2/2021 15:00:00,age50to59,647,570777,853,527154,107,57272,754,628049,960,584426
850,7/3/2021 15:00:00,age50to59,408,571185,460,527614,41,57313,449,628498,501,584927
851,2/12/2021 15:00:00,age40to49,2276,90863,3107,47356,,0,,90863,,47356
852,2/13/2021 15:00:00,age40to49,1099,91962,728,48084,,0,,91962,,48084
853,2/14/2021 15:00:00,age40to49,864,92826,223,48307,,0,,92826,,48307
854,2/15/2021 15:00:00,age40to49,1039,93865,1555,49862,,0,,93865,,49862
855,2/16/2021 15:00:00,age40to49,1694,95559,2307,52169,,0,,95559,,52169
856,2/17/2021 15:00:00,age40to49,2557,98116,3027,55196,,0,,98116,,55196
857,2/18/2021 15:00:00,age40to49,384,98500,597,55793,,0,,98500,,55793
858,2/19/2021 15:00:00,age40to49,1064,99564,2514,58307,,0,,99564,,58307
859,2/20/2021 15:00:00,age40to49,1154,100718,2411,60718,,0,,100718,,60718
860,2/21/2021 15:00:00,age40to49,564,101282,700,61418,,0,,101282,,61418
861,2/22/2021 15:00:00,age40to49,748,102030,1781,63199,,0,,102030,,63199
862,2/23/2021 15:00:00,age40to49,1566,103596,1389,64588,,0,,103596,,64588
863,2/24/2021 15:00:00,age40to49,1894,105490,2358,66946,,0,,105490,,66946
864,2/25/2021 15:00:00,age40to49,1875,107365,2548,69494,,0,,107365,,69494
865,2/26/2021 15:00:00,age40to49,2453,109818,2865,72359,,0,,109818,,72359
866,2/27/2021 15:00:00,age40to49,1721,111539,1123,73482,,0,,111539,,73482
867,2/28/2021 15:00:00,age40to49,1708,113247,466,73948,,0,,113247,,73948
868,3/1/2021 15:00:00,age40to49,2829,116076,960,74908,,0,,116076,,74908
869,3/2/2021 15:00:00,age40to49,2472,118548,1171,76079,2,2,2474,118550,1173,76081
870,3/3/2021 15:00:00,age40to49,3408,121956,1902,77981,21,23,3429,121979,1923,78004
871,3/4/2021 15:00:00,age40to49,3162,125118,1604,79585,549,572,3711,125690,2153,80157
872,3/5/2021 15:00:00,age40to49,2842,127960,1936,81521,425,997,3267,128957,2361,82518
873,3/6/2021 15:00:00,age40to49,2021,129981,969,82490,805,1802,2826,131783,1774,84292
874,3/7/2021 15:00:00,age40to49,1355,131336,530,83020,1045,2847,2400,134183,1575,85867
875,3/8/2021 15:00:00,age40to49,2735,134071,864,83884,1029,3876,3764,137947,1893,87760
876,3/9/2021 15:00:00,age40to49,2687,136758,1467,85351,1025,4901,3712,141659,2492,90252
877,3/10/2021 15:00:00,age40to49,3275,140033,1822,87173,1148,6049,4423,146082,2970,93222
878,3/11/2021 15:00:00,age40to49,4306,144339,1568,88741,454,6503,4760,150842,2022,95244
879,3/12/2021 15:00:00,age40to49,4291,148630,2014,90755,318,6821,4609,155451,2332,97576
880,3/13/2021 15:00:00,age40to49,3167,151797,1142,91897,187,7008,3354,158805,1329,98905
881,3/14/2021 15:00:00,age40to49,2924,154721,735,92632,136,7144,3060,161865,871,99776
882,3/15/2021 15:00:00,age40to49,4527,159248,1095,93727,79,7223,4606,166471,1174,100950
883,3/16/2021 15:00:00,age40to49,4639,163887,1276,95003,75,7298,4714,171185,1351,102301
884,3/17/2021 15:00:00,age40to49,5066,168953,1647,96650,188,7486,5254,176439,1835,104136
885,3/18/2021 15:00:00,age40to49,6037,174990,1316,97966,199,7685,6236,182675,1515,105651
886,3/19/2021 15:00:00,age40to49,5441,180431,1404,99370,166,7851,5607,188282,1570,107221
887,3/20/2021 15:00:00,age40to49,4031,184462,1167,100537,108,7959,4139,192421,1275,108496
888,3/21/2021 15:00:00,age40to49,3237,187699,845,101382,63,8022,3300,195721,908,109404
889,3/22/2021 15:00:00,age40to49,5031,192730,1261,102643,112,8134,5143,200864,1373,110777
890,3/23/2021 15:00:00,age40to49,5653,198383,1894,104537,161,8295,5814,206678,2055,112832
891,7/8/2021 15:00:00,age10to19,1290,317400,1746,270783,35,6918,1325,324318,1781,277701
892,7/9/2021 15:00:00,age10to19,1376,318776,1779,272562,36,6954,1412,325730,1815,279516
893,7/10/2021 15:00:00,age10to19,979,319755,1245,273807,13,6967,992,326722,1258,280774
894,7/11/2021 15:00:00,age10to19,784,320539,683,274490,6,6973,790,327512,689,281463
895,7/12/2021 15:00:00,age10to19,1275,321814,1574,276064,30,7003,1305,328817,1604,283067
896,7/13/2021 15:00:00,age10to19,1467,323281,1342,277406,41,7044,1508,330325,1383,284450
897,7/14/2021 15:00:00,age10to19,1423,324704,1739,279145,18,7062,1441,331766,1757,286207
898,7/15/2021 15:00:00,age10to19,1506,326210,1458,280603,21,7083,1527,333293,1479,287686
899,7/16/2021 15:00:00,age10to19,1485,327695,1356,281959,22,7105,1507,334800,1378,289064
900,7/17/2021 15:00:00,age10to19,938,328633,920,282879,24,7129,962,335762,944,290008
901,7/18/2021 15:00:00,age10to19,569,329202,668,283547,5,7134,574,336336,673,290681
902,7/19/2021 15:00:00,age10to19,1460,330662,1298,284845,31,7165,1491,337827,1329,292010
903,7/20/2021 15:00:00,age10to19,1522,332184,1373,286218,27,7192,1549,339376,1400,293410
904,7/21/2021 15:00:00,age10to19,1670,333854,1472,287690,25,7217,1695,341071,1497,294907
905,7/22/2021 15:00:00,age10to19,1737,335591,1241,288931,25,7242,1762,342833,1266,296173
906,7/23/2021 15:00:00,age10to19,1777,337368,1226,290157,31,7273,1808,344641,1257,297430
907,7/24/2021 15:00:00,age10to19,1101,338469,827,290984,15,7288,1116,345757,842,298272
908,7/25/2021 15:00:00,age10to19,918,339387,272,291256,8,7296,926,346683,280,298552
909,7/26/2021 15:00:00,age10to19,1727,341114,1156,292412,35,7331,1762,348445,1191,299743
910,7/27/2021 15:00:00,age10to19,1669,342783,1147,293559,34,7365,1703,350148,1181,300924
911,7/28/2021 15:00:00,age10to19,1886,344669,1078,294637,21,7386,1907,352055,1099,302023
912,7/29/2021 15:00:00,age10to19,1834,346503,1158,295795,29,7415,1863,353918,1187,303210
913,7/30/2021 15:00:00,age10to19,2013,348516,1164,296959,27,7442,2040,355958,1191,304401
914,7/31/2021 15:00:00,age10to19,1162,349678,860,297819,20,7462,1182,357140,880,305281
915,8/1/2021 15:00:00,age10to19,966,350644,670,298489,8,7470,974,358114,678,305959
916,8/2/2021 15:00:00,age10to19,1810,352454,1107,299596,33,7503,1843,359957,1140,307099
917,8/3/2021 15:00:00,age10to19,1914,354368,1175,300771,28,7531,1942,361899,1203,308302
918,8/4/2021 15:00:00,age10to19,1865,356233,1182,301953,34,7565,1899,363798,1216,309518
919,8/5/2021 15:00:00,age10to19,2047,358280,1268,303221,23,7588,2070,365868,1291,310809
920,8/6/2021 15:00:00,age10to19,2046,360326,1304,304525,21,7609,2067,367935,1325,312134
